input log file location, ./qnn-profiling-data.log
qnn-profile-viewer version, v2.47.0.260601114230
mllm version, 1
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,7505,CYCLES,BACKEND,SUB-EVENT,model.layers.0.self_attn.q_proj.5:OpId_107 (cycles)
47175703048,EXECUTE,144,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,7386,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Concat.25:OpId_1027 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Concat.27:OpId_1051 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Concat.29:OpId_1075 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Concat.31:OpId_1099 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.3:OpId_81 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.12:OpId_1323 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.4:OpId_1239 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Concat.37:OpId_1171 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.1:OpId_1010 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.2:OpId_68 
47175703048,EXECUTE,144,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.MatMul.4:OpId_1239 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.1:OpId_1010 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.3:OpId_1034 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.2:OpId_870 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.50:OpId_1038 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.3:OpId_81 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.5:OpId_1058 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.k_norm.3:OpId_893 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_proj.2:OpId_68 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Slice.52:OpId_1062 
47175703048,EXECUTE,"HVX, HMX, DMA",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,model.layers.0.self_attn.View.6:OpId_112 (cycles)
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,0,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap (wait) time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-EVENT,Resources
47175703048,EXECUTE,14329,CYCLES,BACKEND,SUB-EVENT,model.layers.0.self_attn.q_proj.6:OpId_120 (cycles)
47175703048,EXECUTE,201,CYCLES,BACKEND,SUB-SUB-EVENT,Wait (Scheduler) time
47175703048,EXECUTE,14278,CYCLES,BACKEND,SUB-SUB-EVENT,Overlap time
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Transpose.1:OpId_1033 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Transpose.0:OpId_1009 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.8:OpId_1101 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.4:OpId_1053 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.2:OpId_1029 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.CastType.6:OpId_1077 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.q_norm.7:OpId_617 
47175703048,EXECUTE,"",CYCLES,BACKEND,SUB-SUB-SUB-EVENT,model.layers.0.self_attn.Add.1:OpId_498 
