graph,execution,profiled,captured,graph_execute_us
model.0.s1,720,0,0,22201
model.0.s1,721,0,0,22274
model.0.s1,722,0,0,22171
model.0.s1,723,0,0,22214
model.0.s1,724,0,0,22250
model.0.s1,725,0,0,22182
model.0.s1,726,0,0,22119
model.0.s1,727,0,0,22146
model.0.s1,728,0,0,22200
model.0.s1,729,0,0,22255
model.0.s1,730,0,0,22178
model.0.s1,731,0,0,22179
model.0.s1,732,0,0,22223
model.0.s1,733,0,0,22182
model.0.s1,734,0,0,22286
model.0.s1,735,0,0,22627
model.0.s1,736,0,0,22214
model.0.s1,737,0,0,22230
model.0.s1,738,0,0,22235
model.0.s1,739,0,0,22199
model.0.s1,740,0,0,22238
model.0.s1,741,0,0,22263
model.0.s1,742,0,0,22206
model.0.s1,743,0,0,22288
model.0.s1,744,0,0,22235
model.0.s1,745,0,0,22210
model.0.s1,746,0,0,22214
model.0.s1,747,0,0,22300
model.0.s1,748,0,0,22244
model.0.s1,749,0,0,22226
model.0.s1,750,0,0,22267
model.0.s1,751,0,0,22208
model.0.s1,752,0,0,22211
model.0.s1,753,0,0,22298
model.0.s1,754,0,0,22201
model.0.s1,755,0,0,22203
model.0.s1,756,0,0,22218
model.0.s1,757,0,0,22341
model.0.s1,758,0,0,22379
model.0.s1,759,0,0,22367
model.0.s1,760,0,0,22788
model.0.s1,761,0,0,22271
model.0.s1,762,0,0,22301
model.0.s1,763,0,0,22180
model.0.s1,764,0,0,22415
model.0.s1,765,0,0,22328
model.0.s1,766,0,0,22330
model.0.s1,767,0,0,22204
model.0.s1,768,0,0,22211
model.0.s1,769,0,0,22368
model.0.s1,770,0,0,22242
model.0.s1,771,0,0,22655
model.0.s1,772,0,0,22399
model.0.s1,773,0,0,22318
model.0.s1,774,0,0,22106
model.0.s1,775,0,0,22266
model.0.s1,776,0,0,22436
model.0.s1,777,0,0,22334
model.0.s1,778,0,0,22294
model.0.s1,779,0,0,22270
model.0.s1,780,0,0,22198
model.0.s1,781,0,0,22405
model.0.s1,782,0,0,22426
model.0.s1,783,0,0,22266
model.0.s1,784,0,0,22308
model.0.s1,785,0,0,22506
model.0.s1,786,0,0,22465
model.0.s1,787,0,0,22275
model.0.s1,788,0,0,22067
model.0.s1,789,0,0,22273
model.0.s1,790,0,0,22257
model.0.s1,791,0,0,22225
model.0.s1,792,0,0,22309
model.0.s1,793,0,0,22231
model.0.s1,794,0,0,22307
model.0.s1,795,0,0,22150
model.0.s1,796,0,0,22162
model.0.s1,797,0,0,22384
model.0.s1,798,0,0,22208
model.0.s1,799,0,0,22307
model.0.s1,800,0,0,22252
model.0.s1,801,0,0,22249
model.0.s1,802,0,0,22443
model.0.s1,803,0,0,22434
model.0.s1,804,0,0,22413
model.0.s1,805,0,0,22425
model.0.s1,806,0,0,22225
model.0.s1,807,0,0,22141
model.0.s1,808,0,0,22116
model.0.s1,809,0,0,22205
model.0.s1,810,0,0,22186
model.0.s1,811,0,0,22941
model.0.s1,812,0,0,22320
